"gamma","r.x.v","LW","LS","W","S","GFIC","J10","J5","BIC","HQ","AIC"
0,0,0.0405898708265372,0.0310421336037297,0.0318924595904441,0.0266840612166177,0.03327158258611,0.0286211900398907,0.0275889202130952,0.0298398584851917,0.0301334258996903,0.0309860611848789
0,0.005,0.0397843115220236,0.0302712922267333,0.0313168500374899,0.0257910727567531,0.0321039734083531,0.0279936657359631,0.0270754291030008,0.0286088172005999,0.0287668085202555,0.0302200429793676
0,0.01,0.0401415926551977,0.0313795074446713,0.0321108101461659,0.0268653614644768,0.0332809326707706,0.0287079056397284,0.0279407049987868,0.0301004375700543,0.030130811091395,0.0316125237428718
0,0.015,0.0389277059855663,0.0305606552071887,0.0308773534978761,0.0264391083949147,0.0316599820210883,0.0286434211767083,0.0279206710410456,0.0292892779707223,0.0295253878472775,0.030441069486455
0,0.02,0.0402373616054986,0.0336644694457418,0.0320799659783154,0.0290196966358185,0.0336834495062483,0.0303980796118702,0.0297736844048518,0.0323503773238951,0.0325447904297368,0.0333257519200483
0,0.025,0.0398040208291517,0.0338170519114092,0.0319690084733876,0.02949415133115,0.0335876605852355,0.031076348149766,0.0302320023193825,0.0327011423246206,0.0331193651592917,0.0342669050079431
0,0.03,0.0400980901454602,0.0346019762346686,0.0320382657429546,0.0300547750070976,0.0345821105450732,0.0321124403900684,0.031065415678144,0.0332485298442858,0.0337673643464268,0.0349325405575662
0,0.035,0.0395261416113331,0.0370294631113239,0.0316525938076514,0.0318199714506704,0.034810510031128,0.0324585745992067,0.0320484233476502,0.0355848284646366,0.0354248790863916,0.0360198835919839
0,0.04,0.0391823802714373,0.0382183138606944,0.0311015037892007,0.0325877250762112,0.0347117238514681,0.0339616294056453,0.0334859836312747,0.0367236846731702,0.037060970794023,0.0378676288687243
0,0.045,0.0398473459060985,0.0408902396579742,0.032382628025946,0.0352296259692272,0.0358679980779553,0.0361691911261975,0.0357179445971826,0.0394384228507058,0.0398416370551202,0.0399649383071805
0,0.05,0.0398143202331578,0.0421018640768896,0.0307257145472233,0.0362344901035729,0.0357197495807971,0.0375658867158594,0.0372802597310642,0.040649801894822,0.041126193637521,0.0413059838677871
0,0.055,0.038903206855345,0.0433256570712443,0.0314266304783064,0.0372778517175499,0.0358352236816898,0.0386045880637612,0.038122636894163,0.041915937338195,0.0423428905028472,0.0424103732914255
0,0.06,0.0390878046465587,0.0460163759629355,0.0317855043018362,0.039942374395177,0.0369150930176665,0.0403493601026967,0.0402237981420992,0.044629753464382,0.0446820613205712,0.044407901697773
0,0.065,0.0377472559009655,0.0480479511457909,0.0307630387767239,0.0412513590991837,0.036405920933813,0.0412160436280652,0.0409067452257001,0.0467012879781852,0.0466388503577634,0.04515764061011
0,0.07,0.0396056124350207,0.05037697346545,0.0324635638629979,0.04445482715278,0.0383212296321865,0.0438979494409976,0.0442169868530464,0.0489319981180909,0.0491556499530288,0.0479119230991525
0,0.075,0.0394673912587384,0.0522235436016695,0.0326654666878806,0.0457405344508188,0.0398005102307817,0.0444765304640005,0.045149738946379,0.0508740868816572,0.0504861053500802,0.0486604591003305
0,0.08,0.0379728328423033,0.0552053069058507,0.0317148412866835,0.0482042693964721,0.0388709535915695,0.0464157371404339,0.0472354263880747,0.0537300166279515,0.0535982505099149,0.0506917265188323
0,0.085,0.0394955540322693,0.0564327288815031,0.0321256874372123,0.0495342599533293,0.0400672882258481,0.0474941679568687,0.0483965833602757,0.0550026202984242,0.0548047832896778,0.0514699372422525
0,0.09,0.0386534858224661,0.0588996037176688,0.0316718008874861,0.0520906585524359,0.0390649792049262,0.0480713190461172,0.0496589405508183,0.0580448412729867,0.0576493886414641,0.0520846003728525
0,0.095,0.0379129291458895,0.0607283711709128,0.0308478449861646,0.0538080550793634,0.0389175014581224,0.049427940788211,0.0500381623669416,0.0595857019706074,0.0589155771852301,0.0530558036692297
0,0.1,0.0378402682652999,0.0628912927536914,0.0315851267107084,0.0556393146098133,0.0395243078145729,0.0485339490431559,0.0505717611565126,0.0615139474611673,0.0603437148365698,0.0532881786545688
0,0.105,0.038996195407321,0.0663794257539752,0.0314174319898212,0.05934947678616,0.0402335032571582,0.0508158593811525,0.0530463036807293,0.0652985470686155,0.0638454644759029,0.0555378938787542
0,0.11,0.0391919564263633,0.0682274709712195,0.0317269339710474,0.0608554098438647,0.0410636952384951,0.0515786357893429,0.0548650542605736,0.0671520881224716,0.0656820067162854,0.056033422495173
0,0.115,0.037010560282312,0.0699322396875902,0.0312478801485233,0.0622794996252064,0.0386282054886908,0.0501185165370841,0.0530970225724411,0.0686467398917092,0.0659918887201927,0.0539001113907326
0,0.12,0.0379539285362225,0.0721270635354671,0.0309660281456376,0.0649050225121999,0.0398543060992253,0.0498506066619986,0.0538442491165829,0.071221014696885,0.0682665997016709,0.0549816953241324
0,0.125,0.0386212982942571,0.0756667653996577,0.0320919862609563,0.0679920106642674,0.0406360158962972,0.0503714275635748,0.0551233782512661,0.074565017795141,0.0707798121956487,0.0553208699076285
0,0.13,0.0382713865301722,0.0779269786632584,0.0310300317951652,0.070859595412362,0.0398353690855911,0.0495664852132007,0.0552827386350682,0.0768687538842025,0.0713270219884344,0.0552558666124207
0,0.135,0.0385471075495094,0.0799615194818778,0.0321460637449665,0.0726279766558484,0.0404469581443876,0.0493502317088624,0.0543107517241469,0.0786201135094759,0.0722336797853481,0.0539053831157739
0,0.14,0.0380217760416727,0.0825808661692493,0.0316678967358369,0.0757772801923163,0.0396306846501661,0.0481599426715997,0.0540370798178443,0.0812156400707414,0.0734538233126453,0.0528355429884395
0,0.145,0.0383176150140219,0.0838702815411283,0.0320017483624205,0.0770035645335744,0.0395980439085187,0.0475201921216424,0.0512810699565844,0.0822460767765924,0.0730506096832427,0.0523165853669638
0,0.15,0.0377202029235994,0.0856429145113318,0.0315376271005298,0.0789338089467857,0.0379832468645751,0.0461331492457448,0.0511955358691173,0.0841540421936459,0.07274172606579,0.0501577005643462
0,0.155,0.0388033233348258,0.0882768187157974,0.032140315201606,0.0816300628763759,0.0397219136755106,0.0445153150708096,0.0507289330822693,0.0867365456506103,0.075186075154662,0.0503871521829021
0,0.16,0.0376718304236775,0.0900133749351672,0.0322282052101613,0.0837853894335197,0.0383966787681331,0.0434869942114083,0.0490309623336302,0.0874292115420306,0.0730799890204656,0.0494578033130595
0,0.165,0.0377927134134766,0.0926307663109797,0.0317486470140966,0.086652084182874,0.0389930059755694,0.0420807967443626,0.0471437235174188,0.0896302178098645,0.0721211186013454,0.0480679339881788
0,0.17,0.0371432986072727,0.0947252964187216,0.0311960262073622,0.0886321790071464,0.0365970454840588,0.0408569963423873,0.0463961975322611,0.0908908316750305,0.0716708890769885,0.0465613251742014
0,0.175,0.0380694918130836,0.0975600537407342,0.0319887859139714,0.0913690582987597,0.0378761867999121,0.0398300550288158,0.0437790463412874,0.092030685886905,0.0701927620226728,0.0457108326434389
0,0.18,0.0378815448593329,0.0987513511561457,0.0315942694218189,0.0932343491597377,0.0364040294129012,0.0380854216505497,0.0421273481367056,0.0934509667168513,0.0693052253183787,0.0440663612091712
0,0.185,0.0370006615818348,0.101431593985733,0.0312474682112213,0.0962021170050462,0.0353710169682196,0.0366946667204445,0.0401424540201605,0.0941566985694123,0.0683739816282372,0.0424420981120708
0,0.19,0.037373942445504,0.104267667659984,0.0318045103667419,0.0991449273409824,0.0355688588500013,0.0376388285118045,0.0398116799510181,0.0959762265156428,0.0668620287301447,0.0423934724356855
0,0.195,0.0371371728140603,0.106072168349209,0.0322292356829079,0.101042985666435,0.0358114826749778,0.0362129635039362,0.0390401228407222,0.0955831955054216,0.0664541505552637,0.0404960622780137
0,0.2,0.037064360870603,0.107091482458339,0.0310210102463858,0.102850138234089,0.034703228210198,0.0345963323649872,0.0368249665323707,0.0954084292680877,0.0623180012513916,0.0394738846445328
0.005,0,0.0388696762864946,0.029917630728924,0.0313503034861732,0.0257773393077243,0.0319884747381535,0.027305432617721,0.0266516816736646,0.0289391110094186,0.0289195157754981,0.0302105025309635
0.005,0.005,0.0399173247126884,0.0310472902470455,0.0316258701039651,0.0265808520294763,0.03329698793448,0.0284164071917683,0.0277064582118842,0.0298500346926607,0.0302112300710253,0.0316517877761752
0.005,0.01,0.0397582639598607,0.031306247566778,0.0322186607051475,0.0272347627869276,0.0325461811953164,0.0290138435914015,0.0279015883154969,0.0302590045732945,0.0304255738331847,0.0316050528137024
0.005,0.015,0.0406409862502002,0.0320007926195399,0.0321721487643441,0.0275290899340596,0.0328467792092938,0.0293659355207719,0.0288111830891245,0.0304737668370127,0.0308864960194297,0.0318809407962402
0.005,0.02,0.0383377455785347,0.0322149007993538,0.0310523614783737,0.0282995833605056,0.032492749172459,0.0295359383630405,0.0290390655168146,0.030910346149415,0.0311219366022129,0.0318595238798563
0.005,0.025,0.0389740089472107,0.0328243042045844,0.0314289377334715,0.0286789992398346,0.0329792172679438,0.0300872720552778,0.0295428513895666,0.0316147783289675,0.0318364171000886,0.0329952038170445
0.005,0.03,0.0387687336177115,0.0348318818028164,0.0318118281744463,0.0306910923875269,0.0338828470910783,0.0327428754612677,0.0317829715909159,0.0334894322380928,0.033802392461759,0.0348076529277706
